ts_start,ts_end,iteration,case,file_hits,net_hits,exec_hits,iouring_hits,wazuh_alerts,time_to_detect,path_hits
1765959506,1765959510,1,file_io_traditional,4742,5349,111,4,1,0,0
1765959540,1765959541,1,file_io_uring,1266,255,124,6,0,0,0
1765959552,1765959553,1,read_file_traditional,2257,1000,184,0,0,0,1
1765959561,1765959564,1,openat_uring,966,534,148,9,1,0,0
1765959588,1765959596,1,net_connect_traditional,9692,6798,112,0,0,0,-1
1765959616,1765959617,1,net_connect_uring,6252,1312,118,6,0,0,-1
1765959631,1765959632,1,exec_cmd_traditional,5576,466,136,0,2,0,-1
1765959648,1765959649,2,file_io_traditional,8469,822,190,0,0,0,0
1765959690,1765959690,2,file_io_uring,5047,955,118,6,0,0,0
1765959725,1765959730,2,read_file_traditional,7609,6792,130,0,1,0,1
1765959751,1765959755,2,openat_uring,8374,2151,166,9,20,0,0
1765959771,1765959780,2,net_connect_traditional,12259,7505,166,0,3,0,-1
1765959789,1765959790,2,net_connect_uring,6069,432,154,6,3,0,-1
1765959799,1765959800,2,exec_cmd_traditional,2712,147,124,0,3,0,-1
1765959806,1765959810,3,file_io_traditional,6799,819,190,0,3,0,0
1765959819,1765959820,3,file_io_uring,2101,330,130,6,3,0,0
1765959829,1765959833,3,read_file_traditional,4012,6043,106,0,0,0,1
1765959864,1765959865,3,openat_uring,1103,854,120,9,0,0,0
1765959876,1765959876,3,net_connect_traditional,2319,60,118,0,0,0,-1
1765959885,1765959885,3,net_connect_uring,0,264,124,6,0,0,-1
1765959898,1765959899,3,exec_cmd_traditional,7180,614,112,0,0,0,-1
1765959922,1765959923,4,file_io_traditional,6407,979,148,0,7,0,0
1765959936,1765959937,4,file_io_uring,3412,816,178,6,1,0,0
1765959949,1765959949,4,read_file_traditional,1280,363,130,0,0,0,1
1765959963,1765959964,4,openat_uring,6783,1284,122,9,5,0,0
1765959993,1765959994,4,net_connect_traditional,502,1081,184,0,0,0,-1
1765960004,1765960005,4,net_connect_uring,414,33,118,6,0,0,-1
1765960014,1765960015,4,exec_cmd_traditional,3529,861,184,0,0,0,-1
1765960045,1765960046,5,file_io_traditional,3969,482,90,0,0,0,0
1765960074,1765960075,5,file_io_uring,2345,1121,102,6,0,0,0
1765960105,1765960106,5,read_file_traditional,5585,765,124,0,0,0,1
1765960118,1765960125,5,openat_uring,7850,6255,166,9,1,0,0
1765960143,1765960144,5,net_connect_traditional,4489,966,96,0,3,0,-1
1765960154,1765960155,5,net_connect_uring,139,862,178,6,0,0,-1
1765960174,1765960175,5,exec_cmd_traditional,3091,3348,82,0,0,0,-1
